ID,surveyExpUnderstanding,all clear,Calculations are too complicated,payoff mechanism is not clear enough/inconsistent with the description,The description/flow of the text is unclear or not enough,The purpose or motivation is not clear,The instruction or questions are too long/too complicate,Fairness,Suggestions,Others
35,"No, everything was clear. ",1,,,,,,,,
50,Perfectly clear,1,,,,,,,,
70,no,1,,,,,,,,
53,No,1,,,,,,,,
51,none,1,,,,,,,,
60,no,1,,,,,,,,
69,"No, the experiment was explained in details, and there are examples given in the instructions, so I could easily go back to review. ",1,,,,,,,,
49,No,1,,,,,,,,
61,"No, it was all very clear",1,,,,,,,,
52,NA,1,,,,,,,,
68,No,1,,,,,,,,
65,"The probabilities of ocurring one or other outcomes where clear. However, I would like to be better informed on how to make better financial decisions.",,,,,,,,1,
56,all are clear to me,1,,,,,,,,
71,NA,1,,,,,,,,
59,not really,1,,,,,,,,
58,Not once I completed the practice questions,1,,,,,,,,
64,no. ,1,,,,,,,,
57,"No, everything was well understood by me",1,,,,,,,,
66,prediction on leader's decision. what other parameters to assist our `bet'?,,,,1,,,,,
72,none,1,,,,,,,,
54,No,1,,,,,,,,
55,"Nope, every part is clear.",1,,,,,,,,
62,"YES, I WONDER IF THIS WOULD BE FAIR FOR THE LEADERS AND MEMBERS. ",,,,,,,1,,
67,I didn't understand how to calculate correctly the number of predictability,,1,,,,,,,
63,"no, except the prediction on how much the leader will investigate, i think it's a gambling ",,,,,1,,,,
74,"The formula's used were a little out of my scope. Even though I was able to understand them in the end, it was a little information overload.",,1,,,,,,,
79,"No, everything was very clear",1,,,,,,,,
85,What incentives do I have to ensure that wealth/outcome is more evenly distributed amongst the members? ,,,,,,,1,,
83,Not really but the first part is not easy to understand ,,,,,,1,,,
92,"No, all instructions were given clearly",1,,,,,,,,
77,I think most of the details are very clear and the practice questions do help consolidate it. ,1,,,,,,,,
82,Part 1,,,,,,,,,1
73,No,1,,,,,,,,
95,Stage 2 where we decide the chance out of 100 that the leader has chosen investment x given the investment has succeeded. What's the point? The leader always gets higher payoff if he chooses investment y,,,,,1,,,,
87,i didnt know that the returns will change after task 2. that would've changed my decisions for the first two tasks,,,,1,,,,,
76,"Nope, all parts were celarly understood",1,,,,,,,,
96,"i think may be part 2, like what's the reasons for doing this part?",,,,,1,,,,
75,All clear,1,,,,,,,,
91,Some of the paper instructions seemed to contradict the actual procedure (the payout information),,,1,1,,,,,
78,"No, the instructions are clear and thorough, as well as providing helpful examples. ",1,,,,,,,,
93,no,1,,,,,,,,
81,All clear,1,,,,,,,,
84,No,1,,,,,,,,
90,why would you change the leaders payment if it did not effect your payment at all?,,,,,1,,,,
80,"Nope, the instructions given are very clear. And every changes that have been made can be noted easily by the participants.",1,,,,,,,,
94,Not really. The instructions provided were clear enough.,1,,,,,,,,
88,no,1,,,,,,,,
86,I'm just wondering if the part two is a little bit too subjective?,,,,,1,,,,
89,No.,1,,,,,,,,
103,"Not really. The part II was actually interesting in the sense that each member will obviously keep the maximum amount of money and share the minimum possible. If you share more, then you will definitely lose",1,,,,,,,,
120,Yeah the instructions for part 1 were a bit long so I think I might have missed out some details because I thought all five plans were going to be the same rate and payouts. ,,,,,,1,,,
107,no,1,,,,,,,,
97,No. All of them were completely clearl and well described.,1,,,,,,,,
112,No. everything was clear,1,,,,,,,,
115,I am confused that whther step 2 comes after step 1 for each round. It is not explained clearly ealier.,,,,1,,,,,
102,No,1,,,,,,,,
117,no,1,,,,,,,,
106,"No, all was very clear.",1,,,,,,,,
110,No,1,,,,,,,,
113,No. It was well explained.,1,,,,,,,,
104,No,1,,,,,,,,
111,I would need more time to go through the procedures of payments to fully understand it and more clear examples,,,,,,1,,,
108,I was a bit unsure if Q2(b) would affect my earnings or noit,,,1,,,,,,
100,No,1,,,,,,,,
116,"No, everything was pretty clear",1,,,,,,,,
109,"No, all the instructions are clear.",1,,,,,,,,
105,Nope everthing was clear,1,,,,,,,,
118,no,1,,,,,,,,
98,"No, it was all fairly simple. ",1,,,,,,,,
99,no,1,,,,,,,,
114,the outcome of part 2 is actually implementable is not emphasised enough,,,,1,,,,,
101,everything clear,1,,,,,,,,
119,No,1,,,,,,,,
130,"Just wondering what's the purpose of letting us adjust the leader's payoff, is it to measure jealousy, or doubt, or ..?",,,,,1,,,,
142,no,1,,,,,,,,
126,No.,1,,,,,,,,
141,"Everything is clearly explained, except that I overlooked the fact that the payoff for each investment task might be different, but it did not affect my decision-making anyway.",1,,,,,,,,
127,No,1,,,,,,,,
144,the text descriptions is long and unnecessary.,,,,,,1,,,
121,All clear.,1,,,,,,,,
139,Not really. The instructions were clear.,1,,,,,,,,
123,No.,1,,,,,,,,
137,no they were all clear,1,,,,,,,,
131,no,1,,,,,,,,
136,no,1,,,,,,,,
138,"No, the practice multiple choice questions helped me to clear",1,,,,,,,,
124,no,1,,,,,,,,
125,Not Applicable,1,,,,,,,,
133,No all parts of the experiment was pretty clear to me.,1,,,,,,,,
134,No,1,,,,,,,,
143,No,1,,,,,,,,
122,"no; while complicated, the experiment was easy enough to understand once you thought about it",1,,,,,,,,
140,i the prediction part,,,,,,,,,1
129,no,1,,,,,,,,
135,None,1,,,,,,,,
128,No,1,,,,,,,,
132,all good,1,,,,,,,,
150,NA,1,,,,,,,,
154,"The experimenter talked about a different value for ECU payouts in task 3, not entirely sure what it was. I looked at everything and couldn't figure out what he mentioned to be mindul of.",,,,1,,,,,
168,The part where we have to check the % if the experiment has failed or succeeded. This is totally decided by the computer if it succeeds or fails and the leaders choice has nothing to do with it. Hence predicting the % seems unreasonable,,,,,1,,,,
164,No. ,1,,,,,,,,
145,No,1,,,,,,,,
159,No,1,,,,,,,,
161,"I was briefly confused about the difference between stages and parts. It would be clearer to say, for example, Part 1 and 2 and Stage A and B.",,,,1,,,,,
151,no,1,,,,,,,,
156,great,1,,,,,,,,
149,Part 1 was somewhat complicated and vague.,,,,1,,,,,
165,"First I am not sure if I need to input the number or ECU, but after I input the ECU, the system shows that I just need to input the number.",,,,1,,,,,
158,no it was clear,1,,,,,,,,
155,no,1,,,,,,,,
157,"Not really, the experiment was very clear after a few rounds",1,,,,,,,,
163,no,1,,,,,,,,
146,"no, everything was provided clearly.",1,,,,,,,,
167,"No, most of it was clear. ",1,,,,,,,,
166,"No, everything is clear.",1,,,,,,,,
162,NA,1,,,,,,,,
148,no,1,,,,,,,,
147,no,1,,,,,,,,
153,No ,1,,,,,,,,
160,Everything was clear but the descriptions were very long. The summary at the end was good. ,,,,,,1,,,
152,nup,1,,,,,,,,
185,everything was clear :),1,,,,,,,,
175,"it was not specified the chance of being paid for part 1 vs part 2 (ie was it 50/50), but I understand this may be intentional and the rest was clear",,,1,,,,,,
179, ,1,,,,,,,,
190,No,1,,,,,,,,
183,"No, it were not.",1,,,,,,,,
177,All the parts were clear.,1,,,,,,,,
170,that was OK,1,,,,,,,,
171,No parts. They were all clear,1,,,,,,,,
192,"no, everything is clear",1,,,,,,,,
191,"No, everything was clear",1,,,,,,,,
174,no,1,,,,,,,,
187,No. The instruction is clear,1,,,,,,,,
176,not really. Everything is clear ,1,,,,,,,,
173,No,1,,,,,,,,
186,No,1,,,,,,,,
169,None.,1,,,,,,,,
181,no,1,,,,,,,,
188,"Yes, I didn't know how the leader prediction about the other's decision for his/her payoff influences on her/his payoff.",,,1,1,,,,,
178,The way of choosing the leader randomly can be tranpsrent and I think we all should be judged equally.,,,,,,,1,,
172,"No, everything was crystal clear. ",1,,,,,,,,
189,No,1,,,,,,,,
182,no,1,,,,,,,,
184,"I personally understood the instructions of the experiment, but improvements could be made to make it simplier for the other participants ",,,,,,,,1,
180,No,1,,,,,,,,
199,very clear but not sure what does part 2 do for the experiment. It really like testing human natural and kindness,,,,,1,,,,
198,none,1,,,,,,,,
207,"It was clear after going through the instructions twice, was confusing at first.",1,,,,,,,,
209,"yes, about modifing the leders amount",,,,,1,,,,
205,"The last  part where we could change the leader's return in stage one was not that clear. If the project fails, it might be entirely fue to the fact that the leader chose Y and he might get a lower return from that.",,,,1,,,,,
193,No. All of it was clear.,1,,,,,,,,
214,"The payoffs were not too clear at first, but upon completing the practice questions, it was better",1,,,,,,,,
197,"I think it is the stage 2 of the part one, because it gives us the complicated calculating process for determining the pay which I  think is unnecessary.",,1,1,,,,,,
196,No.,1,,,,,,,,
200,no,1,,,,,,,,
213,No. It was clear enough to proceed with the experiment by myself.,1,,,,,,,,
210,"No, every part is very clear. ",1,,,,,,,,
195,I was unclear of the formula used to calculate the weightage of each investment decision. I was also unclear about the net payoffs part as I kept deducting the cost for the investor.,,1,1,,,,,,
202,No,1,,,,,,,,
212,no ,1,,,,,,,,
201,"Generally everything was clear, like I said the investment probabilities and payoffs were complex but understandable.",1,,,,,,,,
206,"Why were the leaders required to announce their presence? The members could've just put their hands down and have the leader continue to raise their hands. The instructions got chunky at times, but the quiz really helped understand the task. Perhaps in the practice rounds the total earnings could be generated and shown to further clarify what we need to do. ",,,,,,,,1,
208,"No, all was clear. ",1,,,,,,,,
211,Not really. ,1,,,,,,,,
194,I assume that most of the decisions to be made were intuitive so a little more information on the type of investment would have been appreciated rather than simple success and fail rates!,,,,,,,,1,
203,"no, everything was clear. the instructions were very long but detailed enough with examples to help me understand",1,,,,,,,,
216,everything is quite clear as the instructions provides examples that are really useful.,1,,,,,,,,
215,No,1,,,,,,,,
204,no,1,,,,,,,,
219,no the experiment was entirely clear throughout the experiment,1,,,,,,,,
235,No,1,,,,,,,,
222,No,1,,,,,,,,
239,"I felt a little bit unlcear about the changing the leader's pay off when I was reading the instrution and I was unclear about when do I exctaly know of the outcome and decision the leader made. I was not sure what does the investment"" states in question 5 of the practice questions. However, I was clearer of it after I have done the 2nd part of the prac questions.""",1,,,,,,,,
240,No.,1,,,,,,,,
221,No,1,,,,,,,,
232,"When we were told to rate the chance of the leader choosing investment X, I missed the point where it says it was out of a rating of 100. ( i.e I rated from a range of 0-10 instead). ",,,,,,,,,1
224,Everything has been explained clearly,1,,,,,,,,
220,All were clear. the part where instructor reads the summary and intro was really good,1,,,,,,,,
217,"No, all parts are clearly instructed.",1,,,,,,,,
231,NA,1,,,,,,,,
230,no,1,,,,,,,,
227,no,1,,,,,,,,
236,They are all clear.,1,,,,,,,,
223,no. I found the guides to be through explanations of what I should expect during the experiment.,1,,,,,,,,
234,i wasn't sure how the investment was sure to succeed.,,,,1,,,,,
238,No,1,,,,,,,,
225,No.,1,,,,,,,,
237,"not really, but I don't know how much i receieved after part1.",1,,,,,,,,
218,"I found all the material to be fairly understandable, and the only issues that I had were stemming from my own moral dilemmas and the strategies that I put in place to accommodate them.",1,,,,,,,,
229,no,1,,,,,,,,
233,"no, all clear",1,,,,,,,,
226,No.,1,,,,,,,,
228,"The experiment itself was very straightforward, the technical parts of the instructions make them seem harder than how it actually is.",1,,,,,,,,
262,There were not any.,1,,,,,,,,
242,Everything was clear to me.,1,,,,,,,,
253,no,1,,,,,,,,
246,no,1,,,,,,,,
259,No,1,,,,,,,,
264,No.,1,,,,,,,,
252,"Nope, all pretty clear.",1,,,,,,,,
241,most of the part are very clear.,1,,,,,,,,
263,No the instructions and practice sessions made everything quite easy to follow along.,1,,,,,,,,
258,no,1,,,,,,,,
256,No.,1,,,,,,,,
248,"No, but I have a question that after a member knows his role, he always have the right to decrease the payoff of his leader no matter the investment succeeded or failed, which i think it's unfair to the leader",,,,,,,1,,
244,No,1,,,,,,,,
254,no,1,,,,,,,,
245,no,1,,,,,,,,
255,No.,1,,,,,,,,
250,No.,1,,,,,,,,
261,Neither,1,,,,,,,,
257,part2 i do not know the aims of it. as I will choose keep 300 anyway. Overall it is very clear,,,,,1,,,,
249,"Only the calculation part where we had to predect out of 100 how likely is it that the leader chose Investment X, other than that all very clear ",,1,,,,,,,
247,everything was well explained,1,,,,,,,,
243,"No, Everything was very clear to me",1,,,,,,,,
251,"Nope, very clear.",1,,,,,,,,
260,"No, all the parts were clear",1,,,,,,,,
284,"The second stage of part one, how could my decision(increase or decrease leader's earing) will affect the result?",,,1,1,1,,,,
272,All parts were clear,1,,,,,,,,
276,no,1,,,,,,,,
277,no,1,,,,,,,,
273,"No, though the less complex the better.",1,,,,,,,,
281,Not really,1,,,,,,,,
266,No.,1,,,,,,,,
278,No,1,,,,,,,,
268,No. ,1,,,,,,,,
271,"The experiment is clear, however, bit difficult to assign the numbers for payoffs parts that ,means  whether there is much confusion to determine whether my decision will benefit me or the group or not.",,,1,,1,,,,
280,"No, though I didn't bother to do any conditional probabilistic calculations during Part 1's section 2b because the formal maths was too hard.",,1,,,,,,,
283,No,1,,,,,,,,
274,/,1,,,,,,,,
279,"No, it was clear.",1,,,,,,,,
282,No,1,,,,,,,,
265,Nope,1,,,,,,,,
269,The instructions presented in the experiment were very clear.,1,,,,,,,,
267,"At first the instructions were so broad and the final payment decision can be a bit confusing, but other then that after going through the practices it became easier to understand",1,,,,,,,,
285,All clear.,1,,,,,,,,
270,All good,1,,,,,,,,
275,all clear,1,,,,,,,,
293,Everything was clear.,1,,,,,,,,
309,"The rules are some how complecated, a little bit difficult to remember and follow. But overall it's clear stated. ",,,,,,1,,,
294,"Part 1 Stage 2, why is it necessary to guess the odds if the leader succeeds or if he fails, and why do we have to affect his payments.",,,,,1,,,,
302,No,1,,,,,,,,
290,the pay off system in Part 1 for Members initially was a bit confusing to understand. ,,,1,,,,,,
308,no everything was pretty clear,1,,,,,,,,
297,No,1,,,,,,,,
291,"In part 1, it was not suggested that the payoffs for participants were changed for every turn",,,1,1,,,,,
307,no,1,,,,,,,,
304,"No, it all seemed clear",1,,,,,,,,
295,Nothing.,1,,,,,,,,
306,No all parts were very clear and the experimenter explained everything  very well inorder for us to understand,1,,,,,,,,
298,"No,it was quite well explained in the instruction sheet and plus the professor read out the summary for part one before proceeding which was helpful.Part 2 was quite straightforward.",1,,,,,,,,
303,no,1,,,,,,,,
296,"Most of the experiment was clear to me, but I did end up trying to see whether or not the prediction forumla could have been maximised by some value which instead could have been shown in a table to be more fair.",,,,,,,,1,
300,"No, it was all clear.",1,,,,,,,,
287,"The instructions were straight forward and very clear, therefore no problems were encountered",1,,,,,,,,
305,No,1,,,,,,,,
286,no,1,,,,,,,,
292,"No, every parts are clear enough for me to understand",1,,,,,,,,
288,No,1,,,,,,,,
301,"It was a little bit confusing to understand part 1, stage 2. I was a leader so I did not had to perform it, but while I was reading the instructions I had to read them more than twice.",,,,1,,,,,
299,No problems,1,,,,,,,,
289,none,1,,,,,,,,
327,"Not really, everything is explained pretty clear. However, regarding the payments, i is unclear if we are given in a per hours basis or based on the points.",,,1,,,,,,
313,"part 2's explanation was a bit vague, meaning that is the money I recieve from my partner added to my base amount kept, or is it just the amount I recieved? other than that it was all good",,,1,,,,,,
315,"No, everything was very clear.",1,,,,,,,,
322,"No, all clear",1,,,,,,,,
332,All parts of the experient is quite clear.,1,,,,,,,,
310,None. Everything was very professional.,1,,,,,,,,
333,no,1,,,,,,,,
319,no,1,,,,,,,,
312,no,1,,,,,,,,
318,The part about how certain it was that the leader had picked X. it wasn't ncessarily in my best intesrest to reply truthfully becuse of the algorythem that was used to determine payoffs,,,,,1,,,,
328,No. The instructions are clear.,1,,,,,,,,
331,What was unclear was if we should rather act in the interests of the whole group or our own and the benefits associated to it.,,,,,1,,,,
317,It did not occur to me that it was +/-100 ECU and I just assumed -100ECU cause worst case that is what a member would deduct from a leader.,,,1,,,,,,
330,no,1,,,,,,,,
320,No,1,,,,,,,,
311,"No, as mentioned in question 1, the practice questions and formulas provided aided to make all areas of the experiment clear and understandable.",1,,,,,,,,
329,none,1,,,,,,,,
326,"No, it was very clear",1,,,,,,,,
314,Everything clear.,1,,,,,,,,
325,"No, all parts were clear",1,,,,,,,,
316,It was all clear.,1,,,,,,,,
321,No. All of the instructions are clear and concise. The practice questions also helped to increase my understanding of what the experiment is going to be like. ,1,,,,,,,,
323,"at the beggining i was not clear if the leader will have to do something or not in the 2nd stage, as we continued with the experiment, i understood",1,,,,,,,,
324,"I found the experiment very clear and easy to understand, however in the beginning while reading the written instructions I felt a little overwhelmed.",1,,,,,,,,
337,No.,1,,,,,,,,
339,-,1,,,,,,,,
334,No.,1,,,,,,,,
346,no,1,,,,,,,,
340,"Nope, everything was well explained.",1,,,,,,,,
335,"No, there isn't. The instruction was too long. So I was running out of time to read it. However, the summary is good as well as the review question.",,,,,,1,,,
338,"Part 1, need more time to read all the doc",,,,,,1,,,
350,some of the questions i was confused due to my lack of slow decision making skill,,,,,,,,,1
343,No,1,,,,,,,,
345,"I wasn't sure if the 300 ECU was for all 5 investments, for example once you'd spent 50 to invest it would be subtracted from the starting value of your next investment",,,1,,,,,,
342,No,1,,,,,,,,
336,No,1,,,,,,,,
344,No,1,,,,,,,,
347,"The experiment was very clear, and the instructions were very concise and clear as well.",1,,,,,,,,
349,"Part 1 q2a&b, the two questions seem repeated?",,,,1,,,,,
341,no,1,,,,,,,,
348,estimation question for members,,,,1,,,,,
352,yes,,,,,,,,,1
351,"Overall, a bit hard to understand, but after reading it several times it's okay. The examples are helpful",1,,,,,,,,
356,I thought the experiment was very clear yet I do think the equautions in the guide book make the expreiment seem more complictated then it actually is and made me nervous ,,1,,,,,,,
353,Th member's role,,,,1,,,,,
354,"nope, i think all parts is clearly explained",1,,,,,,,,
355,"The stage 2 in part 1, I am not clear for the adjuest the leader's payoff at the begining, but after 2 tries i got it.",1,,,,,,,,
367,At first i don't quite understand about decisions to modifiy leader's payoff,,,,,1,,,,
379,no,1,,,,,,,,
359,"All very clear, and easy to understand.",1,,,,,,,,
372,no,1,,,,,,,,
365,No,1,,,,,,,,
378,"Part 2 Stage 1, I do not know how the rule works. And the payment rule ,if the people is leader in part 1 stage 1 and become a member  in part 2 stage 1, how to calculate the payment?",,,1,,,,,,
364,no. all instructions were clear,1,,,,,,,,
361,Nope all the stages and the parts were detailed and explained well,1,,,,,,,,
369,The experiment was clear and the instruction sheets were descriptive,1,,,,,,,,
363,all of them are clear,1,,,,,,,,
375,no,1,,,,,,,,
373,No,1,,,,,,,,
360,Everything was clear,1,,,,,,,,
357,no,1,,,,,,,,
374,No,1,,,,,,,,
366,"there is a little bit unclear part if the leader chose investment y, will the remaining endownment included into our payment?",,,1,1,,,,,
370,Not available. I understood all those parts.,1,,,,,,,,
377,I think it is clear.,1,,,,,,,,
358,"No, everything was explained very clearly in the instructions. The examples given were very helpful.",1,,,,,,,,
380,no. it is clear,1,,,,,,,,
362,i think just a several words that are repetating makes me a bit hard to digest the information because of there are lots of scenarios and notes,,,,,,1,,,
371,No,1,,,,,,,,
376,N/A,1,,,,,,,,
368,no,1,,,,,,,,
390,No,1,,,,,,,,
397,"yes, i think the overview of experiment is too long, and it takes a long time if we read through it. Maybe next time just put the summary page at the front.",,,,,,1,,,
393,No.,1,,,,,,,,
403,No,1,,,,,,,,
399,"No, I think I am clear for every part of the experiment.",1,,,,,,,,
404,NA,1,,,,,,,,
389,"Yes, the pat 1 was unclear. It was diicult to predict the final outcome of my choices.",,,1,,,,,,
385,No,1,,,,,,,,
396,No.,1,,,,,,,,
402,NO,1,,,,,,,,
392,I was unsure of the incentive for changing my leaders payout. ,,,,,1,,,,
398,None. All parts are clear and straightforward.,1,,,,,,,,
400,"no , its clear enogh",1,,,,,,,,
383,all is clear,1,,,,,,,,
384,No,1,,,,,,,,
394,No.,1,,,,,,,,
395,no,1,,,,,,,,
381,No,1,,,,,,,,
388,There are all clear,1,,,,,,,,
382,"No, everything was clear ",1,,,,,,,,
387,no,1,,,,,,,,
401,no,1,,,,,,,,
391,"answering as a member the percentages in the second part was somewhat difficult to understand, since i couldn't see the graph from the previous page",,,,1,,,,,
386,None. Each part was clear to me.,1,,,,,,,,
406,no,1,,,,,,,,
410,"No, everything is well explained.",1,,,,,,,,
420,no,1,,,,,,,,
422,no,1,,,,,,,,
412,For me all of the instruction are clear and easy to understand,1,,,,,,,,
409,"No, everything was very clear.",1,,,,,,,,
411,"no, everything was clear ",1,,,,,,,,
416,no,1,,,,,,,,
407,No.,1,,,,,,,,
413,"No, even though reading through the instructions was meticulous, they were explained clearly",1,,,,,,,,
415,"no,all clear",1,,,,,,,,
408,no,1,,,,,,,,
414,no,1,,,,,,,,
417,everything is clear,1,,,,,,,,
405,"No, everything was pretty clear",1,,,,,,,,
418,"No, there weren't.",1,,,,,,,,
421,No,1,,,,,,,,
419,"yes, in the part 2, when ask me how much percentage of the leader would choose X.",,,,1,,,,,
425,No,1,,,,,,,,
423,No,1,,,,,,,,
435,there is one thing that unclear to me is in the part 1 regarding determine chance of giving prediction. I am not sure if i do the right thing. so i jus randomly do that,,,,1,,,,,
431,"no, everything are clear especially by the explanation of the instructor",1,,,,,,,,
446,"The modify part of stage 2, which I need to think more time about my partners.",,,,,,,,1,
441,"No, clear and concise",1,,,,,,,,
428,no,1,,,,,,,,
427,All clear,1,,,,,,,,
444,no more,1,,,,,,,,
437,why we only get paid for on section or even one part of one section,,,1,,,,,,
445,no,1,,,,,,,,
434,"No, it was all very clearly explained.",1,,,,,,,,
429,No,1,,,,,,,,
430,No,1,,,,,,,,
436,About members decision for the payoff of the leader. Is it for the award of leader or the punishment for the leaders' decisions?,,,,,1,,,,
438,No.,1,,,,,,,,
442,Not at all. They are all well explained in plain English.,1,,,,,,,,
433,"Not anymore. The first part was slightly confusing, specifically the part in question 2 but it makes sense now.",1,,,,,,,,
432,no,1,,,,,,,,
426,No,1,,,,,,,,
443,No,1,,,,,,,,
440,"no, every parts are clear to me",1,,,,,,,,
439,nothing,1,,,,,,,,
424,it is clear,1,,,,,,,,
447,No.,1,,,,,,,,
459,No.The experiment parts were clear.,1,,,,,,,,
467,all the instructions are quite clear to me,1,,,,,,,,
470,"The way particpants were paid was a bit unclear at the beginning because so many different amounts were presented in a short amount of time, could be made clearer by a table at the beginning showing how much participants could earn for each part and how and then explaining",,,1,,,,,,
456,"Stage 2 is the hardest part to understand. But, after doing the Practice Task, all good.",1,,,,,,,,
462,No,1,,,,,,,,
454,All parts of the experiments were clearly explained.,1,,,,,,,,
468,no,1,,,,,,,,
450,nothing,1,,,,,,,,
452,No,1,,,,,,,,
469,no,1,,,,,,,,
460,n/a,1,,,,,,,,
453,"no, i clearly understand",1,,,,,,,,
458,"The instrctions of the part one is a little long and make me confused at the beginning of the testing, and it took some time to fully understand.",,,,,,1,,,
461,None,1,,,,,,,,
463,none,1,,,,,,,,
455,There wasn't any parts of the experiment that were not clear for me.,1,,,,,,,,
464,"may be the modify part of part 1, I m not sure if I increase he payoff of my leader, where the money come from. Is it from my own ?",,,1,,,,,,
451,Every part of this experiments were clear. Thank you for the clearifications.,1,,,,,,,,
449,No. The instructions are clearly.,1,,,,,,,,
466,"No, it's very clear.",1,,,,,,,,
457,"Not paticulary, however, in the pacis questions, question 11 did seem a bit confusing, however after the convesation with the organiser, it was cleared. ",1,,,,,,,,
448,N/A,1,,,,,,,,
465,"no, as said ealier, the tasks were pretty simple and easy to execute",1,,,,,,,,
477,no,1,,,,,,,,
490,"the part of if it succeds, how many chance that the leader will invest on X"". Is it mean, we imagine if the leader know the result, the percentage of she/he will choose X?""",,,,1,,,,,
481,it is not quite clear for the second question on making the prediction if I becoming the member. ,,,,1,,,,,
484,no,1,,,,,,,,
491,"No , all the parts of the experiment were crystal clear and easily understandable.",1,,,,,,,,
472,guessing the percentage of investment which succeed or failed with what the leader had implemented,,,,1,,,,,
488,"I was initally confused about how the payment for a member would work, and whether I would simply be given the investment return based on the leader's decision. But after reading the instructions once again, I understood that as a member I was not dependent on the leader's investmenet decision, but could earn depending on either my predicition and modification or the investment return. The overall structure was hence fair, and I enjoyed being a member even though I did not primarily make the inital investment decision.",1,,,,,,,,
478,No,1,,,,,,,,
476,"The part where you had to give more or less payout to the leader was confusing, and I did not know the reason for why it was implemented.",,,,,1,,,,
487,no,1,,,,,,,,
489,The question has been explained thoroughly,1,,,,,,,,
479,I this it's clear enough ,1,,,,,,,,
471,no,1,,,,,,,,
473,no,1,,,,,,,,
482,no,1,,,,,,,,
494,no,1,,,,,,,,
480,No ,1,,,,,,,,
483,There were nothing unclear to me.,1,,,,,,,,
486,"Nope, it's super clear",1,,,,,,,,
475,the explaination were clear on ho the tasks and experiment wil be performed,1,,,,,,,,
474,I wasn't clear about which investment decision the system would pick out of 5 in part 1,,,1,1,,,,,
485,"No, but i am curious about the meaning why leader should raise hands in part1",1,,,,,,,,1
493,No,1,,,,,,,,
492,"some part is not clea when i was reading the instruction. but afte practice task, it is easier to understand",1,,,,,,,,
515,"no, all of them are clear",1,,,,,,,,
